start_time,parent_match_id,home_team,away_team
2024-04-24 10:00:00,49514129,FC Twente Enschede SRL,Almere City FC Srl
2024-04-24 10:00:00,49514131,Ajax Amsterdam SRL,Excelsior Rotterdam Srl
2024-04-24 11:00:00,49228291,Persebaya,Bali United Pusam
2024-04-24 12:00:00,49625657,Everton FC SRL,Liverpool FC SRL
2024-04-24 12:00:00,49625655,Crystal Palace SRL,Newcastle United SRL
2024-04-24 12:00:00,49625477,Wolverhampton Wanderers SRL,AFC Bournemouth SRL
2024-04-24 12:00:00,49625659,Manchester United FC SRL,Sheffield United SRL
2024-04-24 12:00:00,42692663,Khabarovsk,Rodina Moscow
2024-04-24 12:00:00,47096389,Central Coast Mariners,FC Abdysh-Ata
2024-04-24 13:00:00,48598777,Kataller T,Shimizu
2024-04-24 13:00:00,48598775,Nagano Parceiro,Kyoto Sanga
2024-04-24 13:00:00,48598779,Roasso K,Sagan Tosu
2024-04-24 13:00:00,48415635,Kusatsu G,Kashiwa
2024-04-24 13:00:00,47392541,Nara,Hiroshima
2024-04-24 13:00:00,48574475,Yokohama F Marinos,Ulsan Hyundai
2024-04-24 13:00:00,49626109,Olympique Marseille SRL,OGC Nice SRL
2024-04-24 13:00:00,49626107,AS Monaco SRL,Lille OSC SRL
2024-04-24 13:00:00,49626105,FC Lorient Srl,Paris Saint-Germain SRL
2024-04-24 13:00:00,48415651,Ryukyu,Gamba Osaka
2024-04-24 13:00:00,48415645,Fagiano Okayama,Yokohama FC
2024-04-24 13:00:00,48415623,Blaublitz A,Shonan
2024-04-24 13:30:00,47392545,Gainare T,Urawa
2024-04-24 13:30:00,49343103,Sunshine Coast Wanderers,Queensland Lions FC
2024-04-24 13:30:00,49343109,Peninsula Power FC,Olympic FC Brisbane
2024-04-24 15:00:00,49223429,Persik Kediri,PSS Sleman
2024-04-24 16:00:00,47671595,Gabala,Zira FK
2024-04-24 16:00:00,49346121,Jkt Tanzania,Young Africans
2024-04-24 16:00:00,49091245,Fauve Azur de Yaounde,Aigle Royal
2024-04-24 16:00:00,49480077,Chicken Inn FC,Hwange Colliery FC
2024-04-24 16:00:00,41928311,Orenburg,DINAMO MOSCOW
2024-04-24 16:00:00,42692667,FK Tyumen,Chernomorets
2024-04-24 16:00:00,49498273,FC Muza,Nkwazi
2024-04-24 16:45:00,48537747,U. Cluj,Politehnica Iasi
2024-04-24 17:00:00,49514175,Radnicki 1923,Vojvodina
2024-04-24 17:00:00,48369331,Lamia,PAOK
2024-04-24 17:00:00,48546399,Zvijezda 09,Tuzla City
2024-04-24 17:00:00,48750269,CSC 1599 Selimbar,AFK Csikszereda Miercurea Ciuc
2024-04-24 17:00:00,42692655,FC Alania Vladikavkaz,PFC Kuban Krasnodar
2024-04-24 17:00:00,42692665,Volgar Astrakhan,Torpedo Moscow
2024-04-24 17:00:00,49626497,Club Nacional de Football SRL,Deportivo Tachira Srl
2024-04-24 17:00:00,49626499,Club Bolivar SRL,CR Flamengo RJ SRL
2024-04-24 17:00:00,49626501,CSD Independiente del Valle SRL,SE Palmeiras SP SRL
2024-04-24 17:00:00,49626495,Huachipato Srl,The Strongest Srl
2024-04-24 17:00:00,49626503,Libertad SRL,CA River Plate (ARG) SRL
2024-04-24 17:00:00,49626493,Botafogo Fr RJ Srl,Universitario de Deportes Srl
2024-04-24 17:00:00,49570033,FC Goa,Mumbai City FC
2024-04-24 17:00:00,48059835,El Gaish,Enppi
2024-04-24 17:30:00,44179808,Liptovsky Mikulas,Slavoj Trebisov
2024-04-24 17:30:00,42692661,FK Akron Tolyatti,Leningradets
2024-04-24 17:30:00,47984343,Slavija Sarajevo,Drina Zvornik
2024-04-24 17:30:00,42161987,P. Bystrica,Komarno
2024-04-24 18:00:00,41907521,FK Bokelj,FK Kom
2024-04-24 18:00:00,41907517,Otrant Ulcinj,Lovcen
2024-04-24 18:00:00,49091243,Bamboutos,Apejes de Mfou
2024-04-24 18:00:00,41907513,FK Internacional Podgorica,Igalo 1929
2024-04-24 18:00:00,41907519,Berane,FK Iskra
2024-04-24 18:00:00,47815319,FK Transinvest,Hegelmann L. Kaunas
2024-04-24 18:00:00,47815321,Panevezys,Dziugas
2024-04-24 18:00:00,41907515,FK Podgorica,FK Grbalj
2024-04-24 18:00:00,42692669,Sokol Saratov,Yenisey
2024-04-24 18:00:00,42692657,Neftekhimik,Shinnik Yaroslavl
2024-04-24 18:00:00,49216489,Karmiotissa,Othellos
2024-04-24 18:15:00,41928305,Nizhny Novgorod,LOKOMOTIV MOSCOW
2024-04-24 18:30:00,47415335,Jaro,Kapa
2024-04-24 18:30:00,47951349,Poxyt,Tampere United
2024-04-24 18:30:00,47415331,Pk-35,TPS
2024-04-24 18:30:00,47415327,Mikkelin,JIPPO
2024-04-24 18:30:00,42676055,Al-Shamal,Al-Sadd
2024-04-24 18:30:00,42676057,Al Arabi Doha,AL Markhiya
2024-04-24 18:30:00,42676059,Al Wakra,Al Gharafa
2024-04-24 18:30:00,42676061,Al Rayyan,Al Ahli Doha
2024-04-24 18:30:00,42676063,Al-Mu Aidar,Qatar SC
2024-04-24 18:30:00,42676053,Umm-Salal,AL Duhail
2024-04-24 18:30:00,47415329,JaPS,SalPa
2024-04-24 18:30:00,47415333,FC KTP,SJK Akatemia
2024-04-24 18:45:00,48194595,Ludogorets,Hebar
2024-04-24 19:00:00,49422117,FK Mandalskameratene,Bryne FK
2024-04-24 19:00:00,49421943,IF Floeya,Tromsoe IL
2024-04-24 19:00:00,47671599,Qarabag,Neftchi Baku
2024-04-24 19:00:00,41877667,WISLA PLOCK,Miedz Legnica
2024-04-24 19:00:00,49422733,Kjelsaas,Kongsvinger IL Fotball
2024-04-24 19:00:00,49422285,Flekkeroy IL,Egersunds IK
2024-04-24 19:00:00,47951351,P-Iirot,Hjs Akatemia
2024-04-24 19:00:00,47951353,Honka,Ebk
2024-04-24 19:00:00,49421989,IK Junkeren,Bodoe/Glimt
2024-04-24 19:00:00,47951355,TPV,Ilves-Kissat
2024-04-24 19:00:00,49171033,VIKTORIA PLZEN,ZLIN
2024-04-24 19:00:00,48537069,Constanta,Rapid B.
2024-04-24 19:00:00,49421897,Skjervoey,Alta IF
2024-04-24 19:00:00,49422103,Hoedd IL,Aalesunds FK
2024-04-24 19:00:00,49422735,Raade,Moss FK
2024-04-24 19:00:00,49422641,Pors Grenland,Odds BK
2024-04-24 19:00:00,48750265,Mioveni,Unirea Slobozia
